filename,#author,#cmt,changeloc
src/test/java/org/junit/tests/experimental/theories/runner/SuccessfulWithDataPointFields.java,3,4,410
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/Stub.java,0,0,0
src/test/java/org/junit/tests/experimental/AssumptionTest.java,8,16,648
src/test/java/junit/tests/runner/TextRunnerTest.java,1,1,93
src/main/java/org/junit/internal/builders/IgnoredClassRunner.java,2,2,33
src/main/java/org/junit/internal/requests/ClassRequest.java,6,12,248
src/test/java/junit/tests/runner/TextFeedbackTest.java,1,1,199
src/test/java/org/junit/samples/money/package-info.java,0,0,0
src/main/java/org/junit/experimental/results/FailureList.java,2,3,39
src/main/java/org/junit/runners/parameterized/TestWithParameters.java,2,2,116
src/main/java/org/junit/runner/notification/SynchronizedRunListener.java,2,2,145
src/test/java/org/junit/tests/experimental/ExperimentalTests.java,4,6,35
src/test/java/org/junit/tests/listening/TestListenerTest.java,4,5,160
src/main/java/junit/textui/TestRunner.java,4,4,379
src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java,2,2,50
src/test/java/org/junit/tests/experimental/categories/JavadocTest.java,1,1,78
src/main/java/org/junit/rules/ExpectedExceptionMatcherBuilder.java,3,3,118
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/StubbedTheories.java,6,14,129
src/main/java/org/junit/runner/JUnitCore.java,9,34,1426
src/main/java/org/junit/runners/model/NoGenericTypeParametersValidator.java,3,3,148
src/test/java/org/junit/tests/running/classes/SuiteTest.java,3,4,339
src/test/java/junit/tests/framework/SuiteTest.java,2,5,266
src/main/java/org/junit/experimental/theories/ParameterSignature.java,4,8,341
src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java,2,3,26
src/main/java/org/junit/internal/InexactComparisonCriteria.java,4,9,264
src/main/java/org/junit/AssumptionViolatedException.java,2,2,74
src/main/java/org/junit/internal/runners/model/EachTestNotifier.java,5,11,159
src/test/java/org/junit/tests/experimental/theories/runner/WithOnlyTestAnnotations.java,5,9,150
src/test/java/org/junit/runners/model/RunnerBuilderStub.java,1,1,11
src/main/java/org/junit/experimental/theories/Theory.java,3,3,14
src/main/java/org/junit/rules/RunRules.java,3,3,60
src/test/java/org/junit/tests/internal/runners/ErrorReportingRunnerTest.java,1,1,11
src/test/java/org/junit/runner/notification/SynchronizedRunListenerTest.java,2,2,174
src/test/java/org/junit/tests/experimental/theories/runner/WithNamedDataPoints.java,1,2,75
src/main/java/org/junit/experimental/theories/internal/SpecificDataPointsSupplier.java,1,2,92
src/test/java/org/junit/tests/running/classes/IgnoreClassTest.java,2,4,63
src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java,2,2,4
src/main/java/org/junit/runners/model/TestTimedOutException.java,2,2,16
src/main/java/org/junit/internal/runners/ErrorReportingRunner.java,6,22,292
src/test/java/org/junit/tests/experimental/rules/LoggingTestWatcher.java,3,3,78
src/main/java/org/junit/Ignore.java,4,4,39
src/test/java/junit/tests/framework/ThreeTestCases.java,2,4,63
src/main/java/junit/extensions/TestDecorator.java,1,1,59
src/test/java/junit/tests/framework/TestImplementorTest.java,1,1,84
src/main/java/org/junit/experimental/theories/ParameterSupplier.java,3,3,41
src/main/java/org/junit/experimental/theories/PotentialAssignment.java,5,14,163
src/main/java/junit/framework/ComparisonFailure.java,1,1,90
src/test/java/junit/tests/framework/DoublePrecisionAssertTest.java,1,1,92
src/test/java/org/junit/validator/AnnotationValidatorFactoryTest.java,0,0,0
src/test/java/junit/tests/extensions/AllTests.java,1,1,23
src/test/java/org/junit/runner/notification/RunNotifierTest.java,3,3,229
src/test/java/org/junit/tests/experimental/theories/runner/TypeMatchingBetweenMultiDataPointsMethod.java,1,3,141
src/main/java/org/junit/experimental/theories/internal/EnumSupplier.java,1,1,30
src/main/java/org/junit/runners/parameterized/ParametersRunnerFactory.java,1,1,21
src/main/java/org/junit/internal/runners/model/MultipleFailureException.java,4,5,58
src/test/java/org/junit/tests/running/classes/UseSuiteAsASuperclassTest.java,2,4,111
src/test/java/junit/tests/extensions/ActiveTestTest.java,1,1,98
src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory.java,1,1,18
src/test/java/org/junit/tests/experimental/results/ResultMatchersTest.java,6,8,95
src/main/java/org/junit/internal/runners/InitializationError.java,6,6,58
src/test/java/junit/tests/framework/Success.java,1,1,15
src/test/java/org/junit/runner/FilterFactoriesTest.java,2,5,74
src/test/java/junit/tests/framework/NotPublicTestCase.java,1,1,13
src/main/java/org/junit/runner/package-info.java,0,0,0
src/test/java/org/junit/tests/running/methods/InheritedTestTest.java,1,1,46
src/main/java/org/junit/experimental/categories/IncludeCategories.java,3,8,182
src/test/java/org/junit/tests/running/classes/ClassLevelMethodsWithIgnoredTestsTest.java,1,1,9
src/main/java/junit/framework/TestFailure.java,3,4,129
src/test/java/junit/tests/framework/AssertTest.java,3,3,352
src/main/java/org/junit/rules/RuleChain.java,3,5,213
src/test/java/org/junit/tests/junit3compatibility/ForwardCompatibilityPrintingTest.java,1,1,134
src/main/java/org/junit/rules/ExternalResource.java,6,14,160
src/main/java/org/junit/runners/Suite.java,8,50,866
src/test/java/org/junit/tests/listening/UserStopTest.java,1,1,39
src/main/java/org/junit/runners/Parameterized.java,14,65,3222
src/main/java/org/junit/runner/notification/StoppedByUserException.java,2,2,7
src/test/java/junit/samples/money/Money.java,2,3,166
src/test/java/org/junit/tests/experimental/rules/RuleMemberValidatorTest.java,2,2,118
src/test/java/org/junit/runners/parameterized/TestWithParametersTest.java,1,1,137
src/main/java/org/junit/experimental/categories/CategoryFilterFactory.java,3,13,227
src/test/java/junit/tests/WasRun.java,1,1,11
src/main/java/org/junit/rules/ErrorCollector.java,5,7,148
src/main/java/org/junit/runners/model/MultipleFailureException.java,5,9,221
src/test/java/org/junit/tests/experimental/rules/MethodRulesTest.java,5,8,686
src/test/java/org/junit/tests/validation/ValidationTest.java,3,3,67
src/main/java/org/junit/internal/matchers/StacktracePrintingMatcher.java,3,4,154
src/test/java/org/junit/tests/description/TestDescriptionMethodNameTest.java,1,1,50
src/main/java/org/junit/rules/TestWatcher.java,7,18,505
src/main/java/org/junit/validator/AnnotationValidator.java,1,3,46
src/test/java/junit/samples/money/IMoney.java,2,2,100
src/main/java/org/junit/runner/FilterFactories.java,3,5,72
src/main/java/org/junit/internal/AssumptionViolatedException.java,8,9,341
src/main/java/org/junit/ComparisonFailure.java,6,7,523
src/main/java/org/junit/runner/Result.java,9,20,539
src/main/java/junit/runner/Version.java.template,0,0,0
src/test/java/org/junit/runner/JUnitCommandLineParseResultTest.java,2,2,41
src/main/java/org/junit/Rule.java,6,14,220
src/main/java/org/junit/experimental/runners/Enclosed.java,5,11,173
src/test/java/junit/tests/framework/OneTestCase.java,1,1,18
src/test/java/org/junit/tests/running/methods/TestMethodTest.java,4,12,392
