problem,type,module_name,class_name,method_name
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.handleAlreadyVisible
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.handleAlreadyVisible
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.activityResumedLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.activityResumedLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.activityStoppedLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.activityStoppedLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.startLaunchTickingLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.startLaunchTickingLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.continueLaunchTickingLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.continueLaunchTickingLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.finishLaunchTickingLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.finishLaunchTickingLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.startFreezingScreenLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.startFreezingScreenLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.stopFreezingScreenLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.stopFreezingScreenLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.reportFullyDrawnLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.reportFullyDrawnLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.onWindowsDrawn
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.onWindowsDrawn
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.onWindowsVisible
